index,App,SHA,TestFilePath,LOC,NOM,WMC,RFC,NAs,AsD,NumberOfMethods,AssertionRoulette,ConditionalTestLogic,ConstructorInitialization,DefaultTest,EmptyTest,ExceptionCatchingThrowing,GeneralFixture,MysteryGuest,PrintStatement,RedundantAssertion,SensitiveEquality,VerboseTest,SleepyTest,DuplicateAssert,UnknownTest,IgnoredTest,ResourceOptimism,MagicNumberTest,DependentTest,MoveAndInlineMethod,isMoveAndInlineMethod
69,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/prompt/InputValidateResultTest.java,15,2,2,12,0.4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
70,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/prompt/SchemaValidatorTest.java,66,6,15,17,0.18,12,6,1,0,0,0,0,5,1,0,1,0,0,0,0,2,0,0,0,5,0,0,False
71,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/utils/MavenUtilsTest.java,34,3,6,39,0.32,11,3,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0,False
72,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/utils/XmlUtilsTest.java,49,6,10,30,0.33,16,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,False
73,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/springcloud/DeployMojoTest.java,16,1,3,8,0.13,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
74,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/springcloud/TemplateUtilsTest.java,43,7,8,25,0.23,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,False
75,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/springcloud/configuration/AppDeploymentMavenConfigTest.java,38,7,7,27,0.21,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,False
76,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/springcloud/prompt/ConfigurationPrompterTest.java,185,16,37,75,0.09,16,16,8,1,0,0,0,14,15,0,0,0,2,0,0,7,1,0,1,15,0,0,False
77,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/webapp/DeployMojoTest.java,53,7,16,37,0.34,18,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False
78,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/webapp/parser/ConfigParserTest.java,80,5,7,49,0.29,23,5,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,False
79,microsoft/azure-maven-plugins,175b3180324ed8be16eeaf998e0138dfa5ae1037,com/microsoft/azure/maven/webapp/utils/TestUtils.java,52,6,20,29,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
80,microsoft/azure-maven-plugins,874b7ec9c3156a38d10aa87799792278666a3955,com/microsoft/azure/maven/appservice/AbstractAppServiceMojoTest.java,17,2,3,10,0.06,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False
81,microsoft/azure-maven-plugins,874b7ec9c3156a38d10aa87799792278666a3955,com/microsoft/azure/maven/function/AddMojoTest.java,44,7,15,24,0.11,5,7,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,4,0,0,False
82,microsoft/azure-maven-plugins,874b7ec9c3156a38d10aa87799792278666a3955,com/microsoft/azure/maven/function/DeployMojoTest.java,18,3,7,8,0.22,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False
83,microsoft/azure-maven-plugins,874b7ec9c3156a38d10aa87799792278666a3955,com/microsoft/azure/maven/function/ListMojoTest.java,12,2,6,8,0.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
84,microsoft/azure-maven-plugins,874b7ec9c3156a38d10aa87799792278666a3955,com/microsoft/azure/maven/function/PackageMojoTest.java,43,5,13,42,0.09,4,5,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,False
